                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7553,                0.51394,                 1.0373,                0.96018,                0.99825,                  0.995,                0.85782,                0.70651,                0.44172,                 1.0475,             0.00047367,             0.00047367,             0.00047367
                     36,                0.73288,                0.48855,                 1.0413,                0.93416,                   0.95,                0.97833,                0.80406,                 0.7293,                0.44483,                 1.0874,              0.0004666,              0.0004666,              0.0004666
                     37,                0.73515,                0.50185,                 1.0256,                0.94446,                      1,                  0.995,                0.82056,                0.74935,                0.41202,                   1.13,             0.00045953,             0.00045953,             0.00045953
                     38,                 0.7158,                0.48113,                 1.0437,                 0.9665,                0.99456,                  0.995,                0.82107,                0.68897,                0.41636,                 1.0757,             0.00045246,             0.00045246,             0.00045246
                     39,                0.71849,                0.48099,                 1.0454,                0.96204,                0.97942,                  0.995,                0.82229,                0.73768,                0.49374,                 1.1126,             0.00044539,             0.00044539,             0.00044539
                     40,                0.69528,                 0.4612,                 1.0208,                0.95566,                0.98877,                  0.995,                0.83353,                0.72962,                0.40766,                 1.0999,             0.00043832,             0.00043832,             0.00043832
                     41,                0.71132,                0.48487,                 1.0233,                0.94021,                      1,                  0.995,                0.84491,                0.71237,                0.41525,                 1.0804,             0.00043126,             0.00043126,             0.00043126
                     42,                0.69206,                0.46874,                 1.0146,                 0.9605,                0.97011,                  0.995,                0.82661,                0.68633,                0.45133,                  1.105,             0.00042419,             0.00042419,             0.00042419
                     43,                0.69086,                0.47829,                  1.031,                0.93445,                      1,                  0.995,                0.85342,                0.68427,                0.39005,                 1.0981,             0.00041712,             0.00041712,             0.00041712
                     44,                0.70012,                0.45357,                 1.0082,                0.94725,                      1,                  0.995,                0.86422,                0.64454,                0.36469,                 1.0111,             0.00041005,             0.00041005,             0.00041005
                     45,                0.66433,                0.47776,                 1.0172,                 0.9543,                      1,                  0.995,                0.85806,                0.66885,                0.37869,                  1.046,             0.00040298,             0.00040298,             0.00040298
                     46,                0.67933,                0.43533,                 1.0174,                 0.9509,                      1,                  0.995,                0.85808,                 0.6798,                0.36783,                 1.0556,             0.00039591,             0.00039591,             0.00039591
                     47,                0.65015,                0.43937,                0.98319,                0.89757,                      1,                  0.995,                0.83327,                0.71643,                0.37104,                 1.0516,             0.00038884,             0.00038884,             0.00038884
                     48,                0.67754,                0.43847,                 1.0144,                0.95861,                      1,                  0.995,                 0.8648,                0.65963,                0.33769,                 1.0485,             0.00038178,             0.00038178,             0.00038178
                     49,                0.72454,                0.45851,                 1.0165,                0.97409,                      1,                  0.995,                0.86338,                0.64952,                0.34586,                 1.0334,             0.00037471,             0.00037471,             0.00037471
                     50,                0.68554,                0.45288,                 1.0317,                0.96853,                      1,                  0.995,                0.86669,                0.62612,                 0.3884,                 1.0332,             0.00036764,             0.00036764,             0.00036764
                     51,                0.66861,                0.44015,                 1.0034,                0.95421,                      1,                  0.995,                0.87562,                 0.5882,                0.31616,                 1.0071,             0.00036057,             0.00036057,             0.00036057
                     52,                0.68758,                0.43566,                 1.0215,                0.88629,                      1,                  0.995,                0.85725,                0.66341,                 0.3504,                 1.0343,              0.0003535,              0.0003535,              0.0003535
                     53,                0.66864,                0.43555,                 1.0104,                0.88909,                      1,                  0.995,                0.85528,                0.63589,                0.35161,                  1.031,             0.00034643,             0.00034643,             0.00034643
                     54,                0.65201,                0.41936,                 1.0175,                0.96887,                 0.9953,                  0.995,                 0.8404,                0.66953,                0.36165,                 1.0661,             0.00033936,             0.00033936,             0.00033936
                     55,                0.67297,                0.43215,                 1.0396,                0.95269,                      1,                  0.995,                 0.8471,                0.64334,                0.34383,                 1.0579,              0.0003323,              0.0003323,              0.0003323
                     56,                0.67085,                0.41739,                 1.0086,                0.95922,                      1,                  0.995,                0.85697,                0.60502,                0.32868,                 1.0389,             0.00032523,             0.00032523,             0.00032523
                     57,                0.64133,                0.41319,                0.99136,                0.96678,                      1,                  0.995,                0.86802,                0.66436,                0.31949,                 1.0869,             0.00031816,             0.00031816,             0.00031816
                     58,                0.64675,                0.40612,                0.99488,                0.97118,                      1,                  0.995,                   0.86,                0.62653,                0.32608,                 1.0328,             0.00031109,             0.00031109,             0.00031109
                     59,                0.63521,                0.40922,                0.97081,                0.97121,                      1,                  0.995,                0.85918,                0.59287,                0.31212,                 1.0241,             0.00030402,             0.00030402,             0.00030402
                     60,                0.64162,                0.40878,                0.99451,                0.97219,                      1,                  0.995,                 0.8538,                 0.6462,                0.32913,                  1.057,             0.00029695,             0.00029695,             0.00029695
                     61,                0.60177,                0.39331,                0.95669,                0.95895,                      1,                  0.995,                0.87149,                0.59735,                0.32041,                 1.0228,             0.00028988,             0.00028988,             0.00028988
                     62,                0.61027,                0.40352,                0.98511,                0.94952,                      1,                  0.995,                0.88811,                0.56829,                0.29905,                 1.0059,             0.00028282,             0.00028282,             0.00028282
                     63,                0.60795,                0.38528,                0.98915,                0.96402,                      1,                  0.995,                0.89168,                0.56907,                0.28895,                0.99088,             0.00027575,             0.00027575,             0.00027575
                     64,                0.60604,                0.38439,                0.97877,                0.95893,                      1,                  0.995,                 0.8653,                0.56269,                0.29003,                0.98707,             0.00026868,             0.00026868,             0.00026868
                     65,                0.57072,                0.36473,                 0.9526,                0.96044,                      1,                  0.995,                0.84277,                0.63095,                0.30426,                 1.0263,             0.00026161,             0.00026161,             0.00026161
                     66,                0.58152,                0.38019,                0.96345,                0.94653,                      1,                  0.995,                0.87765,                 0.6176,                0.31842,                 1.0069,             0.00025454,             0.00025454,             0.00025454
                     67,                0.57232,                0.37367,                0.97625,                0.95533,                      1,                  0.995,                0.86739,                0.63569,                0.30462,                 1.0102,             0.00024747,             0.00024747,             0.00024747
                     68,                0.57288,                0.37055,                0.95909,                 0.9646,                      1,                  0.995,                0.86524,                0.62731,                 0.2901,                 1.0115,              0.0002404,              0.0002404,              0.0002404
                     69,                0.51073,                0.34143,                0.93767,                0.96451,                      1,                  0.995,                0.85567,                0.64564,                0.31454,                 1.0226,             0.00023334,             0.00023334,             0.00023334
                     70,                0.56078,                0.36757,                0.96804,                0.96585,                      1,                  0.995,                 0.8428,                0.65805,                0.28571,                 1.0483,             0.00022627,             0.00022627,             0.00022627
                     71,                0.54279,                0.36072,                0.94415,                0.96227,                      1,                  0.995,                0.84623,                0.65702,                0.29455,                 1.0633,              0.0002192,              0.0002192,              0.0002192
                     72,                0.58054,                 0.3632,                0.95269,                0.96848,                      1,                  0.995,                0.87328,                0.60476,                 0.2765,                 1.0157,             0.00021213,             0.00021213,             0.00021213
                     73,                0.56415,                0.35876,                0.95362,                0.97088,                      1,                  0.995,                0.86913,                0.60654,                0.29081,                  1.025,             0.00020506,             0.00020506,             0.00020506
